MCS,Contact Energy,Migration Coefficient,Proliferative Probability,Phenotype,Probability
0,-4,9,0.2,No invasion,1
0,-4,9,0.3,No invasion,1
0,-4,9,0.4,No invasion,1
0,-4,9,0.5,No invasion,1
0,-4,9,0.6,No invasion,1
0,-4,9,0.7,No invasion,1
0,-4,9,0.8,No invasion,1
0,-4,9,0.9,No invasion,1
0,-4,9,1,No invasion,1
0,-4,12,0,No invasion,1
0,-4,12,0.1,No invasion,1
0,-4,12,0.2,No invasion,1
0,-4,12,0.3,No invasion,1
0,-4,12,0.4,No invasion,1
0,-4,12,0.5,No invasion,1
0,-4,12,0.6,No invasion,1
0,-4,12,0.7,No invasion,1
0,-4,12,0.8,No invasion,1
0,-4,12,0.9,No invasion,1
0,-4,12,1,No invasion,1
0,-4,15,0,No invasion,1
0,-4,15,0.1,No invasion,1
0,-4,15,0.2,No invasion,1
0,-4,15,0.3,No invasion,1
0,-4,15,0.4,No invasion,1
0,-4,15,0.5,No invasion,1
0,-4,15,0.6,No invasion,1
0,-4,15,0.7,No invasion,1
0,-4,15,0.8,No invasion,1
0,-4,15,0.9,No invasion,1
0,-4,15,1,No invasion,1
0,-4,18,0,No invasion,1
0,-4,18,0.1,No invasion,1
0,-4,18,0.2,No invasion,1
0,-4,18,0.3,No invasion,1
0,-4,18,0.4,No invasion,1
0,-4,18,0.5,No invasion,1
0,-4,18,0.6,No invasion,1
0,-4,18,0.7,No invasion,1
0,-4,18,0.8,No invasion,1
0,-4,18,0.9,No invasion,1
0,-4,18,1,No invasion,1
0,-4,21,0,No invasion,1
0,-4,21,0.1,No invasion,1
0,-4,21,0.2,No invasion,1
0,-4,21,0.3,No invasion,1
0,-4,21,0.4,No invasion,1
0,-4,21,0.5,No invasion,1
0,-4,21,0.6,No invasion,1
0,-4,21,0.7,No invasion,1
0,-4,21,0.8,No invasion,1
0,-4,21,0.9,No invasion,1
0,-4,21,1,No invasion,1
0,-4,24,0,No invasion,1
0,-4,24,0.1,No invasion,1
0,-4,24,0.2,No invasion,1
0,-4,24,0.3,No invasion,1
0,-4,24,0.4,No invasion,1
0,-4,24,0.5,No invasion,1
0,-4,24,0.6,No invasion,1
0,-4,24,0.7,No invasion,1
0,-4,24,0.8,No invasion,1
0,-4,24,0.9,No invasion,1
0,-4,24,1,No invasion,1
0,-4,27,0,No invasion,1
0,-4,27,0.1,No invasion,1
0,-4,27,0.2,No invasion,1
0,-4,27,0.3,No invasion,1
0,-4,27,0.4,No invasion,1
0,-4,27,0.5,No invasion,1
0,-4,27,0.6,No invasion,1
0,-4,27,0.7,No invasion,1
0,-4,27,0.8,No invasion,1
0,-4,27,0.9,No invasion,1
0,-4,27,1,No invasion,1
0,-4,30,0,No invasion,1
0,-4,30,0.1,No invasion,1
0,-4,30,0.2,No invasion,1
0,-4,30,0.3,No invasion,1
0,-4,30,0.4,No invasion,1
0,-4,30,0.5,No invasion,1
0,-4,30,0.6,No invasion,1
0,-4,30,0.7,No invasion,1
0,-4,30,0.8,No invasion,1
0,-4,30,0.9,No invasion,1
0,-4,30,1,No invasion,1
0,-3,0,0,No invasion,1
0,-3,0,0.1,No invasion,1
0,-3,0,0.2,No invasion,1
0,-3,0,0.3,No invasion,1
0,-3,0,0.4,No invasion,1
0,-3,0,0.5,No invasion,1
0,-3,0,0.6,No invasion,1
0,-3,0,0.7,No invasion,1
0,-3,0,0.8,No invasion,1
0,-3,0,0.9,No invasion,1
0,-3,0,1,No invasion,1
0,-3,3,0,No invasion,1
0,-3,3,0.1,No invasion,1
0,-3,3,0.2,No invasion,1
0,-3,3,0.3,No invasion,1
0,-3,3,0.4,No invasion,1
0,-3,3,0.5,No invasion,1
0,-3,3,0.6,No invasion,1
0,-3,3,0.7,No invasion,1
0,-3,3,0.8,No invasion,1
0,-3,3,0.9,No invasion,1
0,-3,3,1,No invasion,1
0,-3,6,0,No invasion,1
0,-3,6,0.1,No invasion,1
0,-3,6,0.2,No invasion,1
0,-3,6,0.3,No invasion,1
0,-3,6,0.4,No invasion,1
0,-3,6,0.5,No invasion,1
0,-3,6,0.6,No invasion,1
0,-3,6,0.7,No invasion,1
0,-3,6,0.8,No invasion,1
0,-3,6,0.9,No invasion,1
0,-3,6,1,No invasion,1
0,-3,9,0,No invasion,1
0,-3,9,0.1,No invasion,1
0,-3,9,0.2,No invasion,1
0,-3,9,0.3,No invasion,1
0,-3,9,0.4,No invasion,1
0,-3,9,0.5,No invasion,1
0,-3,9,0.6,No invasion,1
0,-3,9,0.7,No invasion,1
0,-3,9,0.8,No invasion,1
0,-3,9,0.9,No invasion,1
0,-3,9,1,No invasion,1
0,-3,12,0,No invasion,1
0,-3,12,0.1,No invasion,1
0,-3,12,0.2,No invasion,1
0,-3,12,0.3,No invasion,1
0,-3,12,0.4,No invasion,1
0,-3,12,0.5,No invasion,1
0,-3,12,0.6,No invasion,1
0,-3,12,0.7,No invasion,1
0,-3,12,0.8,No invasion,1
0,-3,12,0.9,No invasion,1
0,-3,12,1,No invasion,1
0,-3,15,0,No invasion,1
0,-3,15,0.1,No invasion,1
0,-3,15,0.2,No invasion,1
0,-3,15,0.3,No invasion,1
0,-3,15,0.4,No invasion,1
0,-3,15,0.5,No invasion,1
0,-3,15,0.6,No invasion,1
0,-3,15,0.7,No invasion,1
0,-3,15,0.8,No invasion,1
0,-3,15,0.9,No invasion,1
0,-3,15,1,No invasion,1
0,-3,18,0,No invasion,1
0,-3,18,0.1,No invasion,1
0,-3,18,0.2,No invasion,1
0,-3,18,0.3,No invasion,1
0,-3,18,0.4,No invasion,1
0,-3,18,0.5,No invasion,1
0,-3,18,0.6,No invasion,1
0,-3,18,0.7,No invasion,1
0,-3,18,0.8,No invasion,1
0,-3,18,0.9,No invasion,1
0,-3,18,1,No invasion,1
0,-3,21,0,No invasion,1
0,-3,21,0.1,No invasion,1
0,-3,21,0.2,No invasion,1
0,-3,21,0.3,No invasion,1
0,-3,21,0.4,No invasion,1
0,-3,21,0.5,No invasion,1
0,-3,21,0.6,No invasion,1
0,-3,21,0.7,No invasion,1
0,-3,21,0.8,No invasion,1
0,-3,21,0.9,No invasion,1
0,-3,21,1,No invasion,1
0,-3,24,0,No invasion,1
0,-3,24,0.1,No invasion,1
0,-3,24,0.2,No invasion,1
0,-3,24,0.3,No invasion,1
0,-3,24,0.4,No invasion,1
0,-3,24,0.5,No invasion,1
0,-3,24,0.6,No invasion,1
0,-3,24,0.7,No invasion,1
0,-3,24,0.8,No invasion,1
0,-3,24,0.9,No invasion,1
0,-3,24,1,No invasion,1
0,-3,27,0,No invasion,1
0,-3,27,0.1,No invasion,1
0,-3,27,0.2,No invasion,1
0,-3,27,0.3,No invasion,1
0,-3,27,0.4,No invasion,1
0,-3,27,0.5,No invasion,1
0,-3,27,0.6,No invasion,1
0,-3,27,0.7,No invasion,1
0,-3,27,0.8,No invasion,1
0,-3,27,0.9,No invasion,1
0,-3,27,1,No invasion,1
0,-3,30,0,No invasion,1
0,-3,30,0.1,No invasion,1
0,-3,30,0.2,No invasion,1
0,-3,30,0.3,No invasion,1
0,-3,30,0.4,No invasion,1
0,-3,30,0.5,No invasion,1
0,-3,30,0.6,No invasion,1
0,-3,30,0.7,No invasion,1
0,-3,30,0.8,No invasion,1
0,-3,30,0.9,No invasion,1
0,-3,30,1,No invasion,1
0,-2,0,0,No invasion,1
0,-2,0,0.1,No invasion,1
0,-2,0,0.2,No invasion,1
0,-2,0,0.3,No invasion,1
0,-2,0,0.4,No invasion,1
0,-2,0,0.5,No invasion,1
0,-2,0,0.6,No invasion,1
0,-2,0,0.7,No invasion,1
0,-2,0,0.8,No invasion,1
0,-2,0,0.9,No invasion,1
0,-2,0,1,No invasion,1
0,-2,3,0,No invasion,1
0,-2,3,0.1,No invasion,1
0,-2,3,0.2,No invasion,1
0,-2,3,0.3,No invasion,1
0,-2,3,0.4,No invasion,1
0,-2,3,0.5,No invasion,1
0,-2,3,0.6,No invasion,1
0,-2,3,0.7,No invasion,1
0,-2,3,0.8,No invasion,1
0,-2,3,0.9,No invasion,1
0,-2,3,1,No invasion,1
0,-2,6,0,No invasion,1
0,-2,6,0.1,No invasion,1
0,-2,6,0.2,No invasion,1
0,-2,6,0.3,No invasion,1
0,-2,6,0.4,No invasion,1
0,-2,6,0.5,No invasion,1
0,-2,6,0.6,No invasion,1
0,-2,6,0.7,No invasion,1
0,-2,6,0.8,No invasion,1
0,-2,6,0.9,No invasion,1
0,-2,6,1,No invasion,1
0,-2,9,0,No invasion,1
0,-2,9,0.1,No invasion,1
0,-2,9,0.2,No invasion,1
0,-2,9,0.3,No invasion,1
0,-2,9,0.4,No invasion,1
0,-2,9,0.5,No invasion,1
0,-2,9,0.6,No invasion,1
0,-2,9,0.7,No invasion,1
0,-2,9,0.8,No invasion,1
0,-2,9,0.9,No invasion,1
0,-2,9,1,No invasion,1
0,-2,12,0,No invasion,1
0,-2,12,0.1,No invasion,1
0,-2,12,0.2,No invasion,1
0,-2,12,0.3,No invasion,1
0,-2,12,0.4,No invasion,1
0,-2,12,0.5,No invasion,1
0,-2,12,0.6,No invasion,1
0,-2,12,0.7,No invasion,1
0,-2,12,0.8,No invasion,1
0,-2,12,0.9,No invasion,1
0,-2,12,1,No invasion,1
0,-2,15,0,No invasion,1
0,-2,15,0.1,No invasion,1
0,-2,15,0.2,No invasion,1
0,-2,15,0.3,No invasion,1
0,-2,15,0.4,No invasion,1
0,-2,15,0.5,No invasion,1
0,-2,15,0.6,No invasion,1
0,-2,15,0.7,No invasion,1
0,-2,15,0.8,No invasion,1
0,-2,15,0.9,No invasion,1
0,-2,15,1,No invasion,1
0,-2,18,0,No invasion,1
0,-2,18,0.1,No invasion,1
0,-2,18,0.2,No invasion,1
0,-2,18,0.3,No invasion,1
0,-2,18,0.4,No invasion,1
0,-2,18,0.5,No invasion,1
0,-2,18,0.6,No invasion,1
0,-2,18,0.7,No invasion,1
0,-2,18,0.8,No invasion,1
0,-2,18,0.9,No invasion,1
0,-2,18,1,No invasion,1
0,-2,21,0,No invasion,1
0,-2,21,0.1,No invasion,1
0,-2,21,0.2,No invasion,1
0,-2,21,0.3,No invasion,1
0,-2,21,0.4,No invasion,1
0,-2,21,0.5,No invasion,1
0,-2,21,0.6,No invasion,1
0,-2,21,0.7,No invasion,1
0,-2,21,0.8,No invasion,1
0,-2,21,0.9,No invasion,1
0,-2,21,1,No invasion,1
0,-2,24,0,No invasion,1
0,-2,24,0.1,No invasion,1
0,-2,24,0.2,No invasion,1
0,-2,24,0.3,No invasion,1
0,-2,24,0.4,No invasion,1
0,-2,24,0.5,No invasion,1
0,-2,24,0.6,No invasion,1
0,-2,24,0.7,No invasion,1
0,-2,24,0.8,No invasion,1
0,-2,24,0.9,No invasion,1
0,-2,24,1,No invasion,1
0,-2,27,0,No invasion,1
0,-2,27,0.1,No invasion,1
0,-2,27,0.2,No invasion,1
0,-2,27,0.3,No invasion,1
0,-2,27,0.4,No invasion,1
0,-2,27,0.5,No invasion,1
0,-2,27,0.6,No invasion,1
0,-2,27,0.7,No invasion,1
0,-2,27,0.8,No invasion,1
0,-2,27,0.9,No invasion,1
0,-2,27,1,No invasion,1
0,-2,30,0,No invasion,1
0,-2,30,0.1,No invasion,1
0,-2,30,0.2,No invasion,1
0,-2,30,0.3,No invasion,1
0,-2,30,0.4,No invasion,1
0,-2,30,0.5,No invasion,1
0,-2,30,0.6,No invasion,1
0,-2,30,0.7,No invasion,1
0,-2,30,0.8,No invasion,1
0,-2,30,0.9,No invasion,1
0,-2,30,1,No invasion,1
0,-1,0,0,No invasion,1
0,-1,0,0.1,No invasion,1
0,-1,0,0.2,No invasion,1
0,-1,0,0.3,No invasion,1
0,-1,0,0.4,No invasion,1
0,-1,0,0.5,No invasion,1
0,-1,0,0.6,No invasion,1
0,-1,0,0.7,No invasion,1
0,-1,0,0.8,No invasion,1
0,-1,0,0.9,No invasion,1
0,-1,0,1,No invasion,1
0,-1,3,0,No invasion,1
0,-1,3,0.1,No invasion,1
0,-1,3,0.2,No invasion,1
0,-1,3,0.3,No invasion,1
0,-1,3,0.4,No invasion,1
0,-1,3,0.5,No invasion,1
0,-1,3,0.6,No invasion,1
0,-1,3,0.7,No invasion,1
0,-1,3,0.8,No invasion,1
0,-1,3,0.9,No invasion,1
0,-1,3,1,No invasion,1
0,-1,6,0,No invasion,1
0,-1,6,0.1,No invasion,1
0,-1,6,0.2,No invasion,1
0,-1,6,0.3,No invasion,1
0,-1,6,0.4,No invasion,1
0,-1,6,0.5,No invasion,1
0,-1,6,0.6,No invasion,1
0,-1,6,0.7,No invasion,1
0,-1,6,0.8,No invasion,1
0,-1,6,0.9,No invasion,1
0,-1,6,1,No invasion,1
0,-1,9,0,No invasion,1
0,-1,9,0.1,No invasion,1
0,-1,9,0.2,No invasion,1
0,-1,9,0.3,No invasion,1
0,-1,9,0.4,No invasion,1
0,-1,9,0.5,No invasion,1
0,-1,9,0.6,No invasion,1
0,-1,9,0.7,No invasion,1
0,-1,9,0.8,No invasion,1
0,-1,9,0.9,No invasion,1
0,-1,9,1,No invasion,1
0,-1,12,0,No invasion,1
0,-1,12,0.1,No invasion,1
0,-1,12,0.2,No invasion,1
0,-1,12,0.3,No invasion,1
0,-1,12,0.4,No invasion,1
0,-1,12,0.5,No invasion,1
0,-1,12,0.6,No invasion,1
0,-1,12,0.7,No invasion,1
0,-1,12,0.8,No invasion,1
0,-1,12,0.9,No invasion,1
0,-1,12,1,No invasion,1
0,-1,15,0,No invasion,1
0,-1,15,0.1,No invasion,1
0,-1,15,0.2,No invasion,1
0,-1,15,0.3,No invasion,1
0,-1,15,0.4,No invasion,1
0,-1,15,0.5,No invasion,1
0,-1,15,0.6,No invasion,1
0,-1,15,0.7,No invasion,1
0,-1,15,0.8,No invasion,1
0,-1,15,0.9,No invasion,1
0,-1,15,1,No invasion,1
0,-1,18,0,No invasion,1
0,-1,18,0.1,No invasion,1
0,-1,18,0.2,No invasion,1
0,-1,18,0.3,No invasion,1
0,-1,18,0.4,No invasion,1
0,-1,18,0.5,No invasion,1
0,-1,18,0.6,No invasion,1
0,-1,18,0.7,No invasion,1
0,-1,18,0.8,No invasion,1
0,-1,18,0.9,No invasion,1
0,-1,18,1,No invasion,1
0,-1,21,0,No invasion,1
0,-1,21,0.1,No invasion,1
0,-1,21,0.2,No invasion,1
0,-1,21,0.3,No invasion,1
0,-1,21,0.4,No invasion,1
0,-1,21,0.5,No invasion,1
0,-1,21,0.6,No invasion,1
0,-1,21,0.7,No invasion,1
0,-1,21,0.8,No invasion,1
0,-1,21,0.9,No invasion,1
0,-1,21,1,No invasion,1
0,-1,24,0,No invasion,1
0,-1,24,0.1,No invasion,1
0,-1,24,0.2,No invasion,1
0,-1,24,0.3,No invasion,1
0,-1,24,0.4,No invasion,1
0,-1,24,0.5,No invasion,1
0,-1,24,0.6,No invasion,1
0,-1,24,0.7,No invasion,1
0,-1,24,0.8,No invasion,1
0,-1,24,0.9,No invasion,1
0,-1,24,1,No invasion,1
0,-1,27,0,No invasion,1
0,-1,27,0.1,No invasion,1
0,-1,27,0.2,No invasion,1
0,-1,27,0.3,No invasion,1
0,-1,27,0.4,No invasion,1
0,-1,27,0.5,No invasion,1
0,-1,27,0.6,No invasion,1
0,-1,27,0.7,No invasion,1
0,-1,27,0.8,No invasion,1
0,-1,27,0.9,No invasion,1
0,-1,27,1,No invasion,1
0,-1,30,0,No invasion,1
0,-1,30,0.1,No invasion,1
0,-1,30,0.2,No invasion,1
0,-1,30,0.3,No invasion,1
0,-1,30,0.4,No invasion,1
0,-1,30,0.5,No invasion,1
0,-1,30,0.6,No invasion,1
0,-1,30,0.7,No invasion,1
0,-1,30,0.8,No invasion,1
0,-1,30,0.9,No invasion,1
0,-1,30,1,No invasion,1
0,0,0,0,No invasion,1
0,0,0,0.1,No invasion,1
0,0,0,0.2,No invasion,1
0,0,0,0.3,No invasion,1
0,0,0,0.4,No invasion,1
0,0,0,0.5,No invasion,1
0,0,0,0.6,No invasion,1
0,0,0,0.7,No invasion,1
0,0,0,0.8,No invasion,1
0,0,0,0.9,No invasion,1
0,0,0,1,No invasion,1
0,0,3,0,No invasion,1
0,0,3,0.1,No invasion,1
0,0,3,0.2,No invasion,1
0,0,3,0.3,No invasion,1
0,0,3,0.4,No invasion,1
0,0,3,0.5,No invasion,1
0,0,3,0.6,No invasion,1
0,0,3,0.7,No invasion,1
0,0,3,0.8,No invasion,1
0,0,3,0.9,No invasion,1
0,0,3,1,No invasion,1
0,0,6,0,No invasion,1
0,0,6,0.1,No invasion,1
0,0,6,0.2,No invasion,1
0,0,6,0.3,No invasion,1
0,0,6,0.4,No invasion,1
0,0,6,0.5,No invasion,1
0,0,6,0.6,No invasion,1
0,0,6,0.7,No invasion,1
0,0,6,0.8,No invasion,1
0,0,6,0.9,No invasion,1
0,0,6,1,No invasion,1
0,0,9,0,No invasion,1
0,0,9,0.1,No invasion,1
0,0,9,0.2,No invasion,1
0,0,9,0.3,No invasion,1
0,0,9,0.4,No invasion,1
0,0,9,0.5,No invasion,1
0,0,9,0.6,No invasion,1
0,0,9,0.7,No invasion,1
0,0,9,0.8,No invasion,1
0,0,9,0.9,No invasion,1
0,0,9,1,No invasion,1
0,0,12,0,No invasion,1
0,0,12,0.1,No invasion,1
0,0,12,0.2,No invasion,1
0,0,12,0.3,No invasion,1
0,0,12,0.4,No invasion,1
0,0,12,0.5,No invasion,1
0,0,12,0.6,No invasion,1
0,0,12,0.7,No invasion,1
0,0,12,0.8,No invasion,1
0,0,12,0.9,No invasion,1
0,0,12,1,No invasion,1
0,0,15,0,No invasion,1
0,0,15,0.1,No invasion,1
0,0,15,0.2,No invasion,1
0,0,15,0.3,No invasion,1
0,0,15,0.4,No invasion,1
0,0,15,0.5,No invasion,1
0,0,15,0.6,No invasion,1
0,0,15,0.7,No invasion,1
0,0,15,0.8,No invasion,1
0,0,15,0.9,No invasion,1
0,0,15,1,No invasion,1
0,0,18,0,No invasion,1
0,0,18,0.1,No invasion,1
0,0,18,0.2,No invasion,1
0,0,18,0.3,No invasion,1
0,0,18,0.4,No invasion,1
0,0,18,0.5,No invasion,1
0,0,18,0.6,No invasion,1
0,0,18,0.7,No invasion,1
0,0,18,0.8,No invasion,1
0,0,18,0.9,No invasion,1
0,0,18,1,No invasion,1
0,0,21,0,No invasion,1
0,0,21,0.1,No invasion,1
0,0,21,0.2,No invasion,1
0,0,21,0.3,No invasion,1
0,0,21,0.4,No invasion,1
0,0,21,0.5,No invasion,1
0,0,21,0.6,No invasion,1
0,0,21,0.7,No invasion,1
0,0,21,0.8,No invasion,1
0,0,21,0.9,No invasion,1
0,0,21,1,No invasion,1
0,0,24,0,No invasion,1
0,0,24,0.1,No invasion,1
0,0,24,0.2,No invasion,1
0,0,24,0.3,No invasion,1
0,0,24,0.4,No invasion,1
0,0,24,0.5,No invasion,1
0,0,24,0.6,No invasion,1
0,0,24,0.7,No invasion,1
0,0,24,0.8,No invasion,1
0,0,24,0.9,No invasion,1
0,0,24,1,No invasion,1
0,0,27,0,No invasion,1
0,0,27,0.1,No invasion,1
0,0,27,0.2,No invasion,1
0,0,27,0.3,No invasion,1
0,0,27,0.4,No invasion,1
0,0,27,0.5,No invasion,1
0,0,27,0.6,No invasion,1
0,0,27,0.7,No invasion,1
0,0,27,0.8,No invasion,1
0,0,27,0.9,No invasion,1
0,0,27,1,No invasion,1
0,0,30,0,No invasion,1
0,0,30,0.1,No invasion,1
0,0,30,0.2,No invasion,1
0,0,30,0.3,No invasion,1
0,0,30,0.4,No invasion,1
0,0,30,0.5,No invasion,1
0,0,30,0.6,No invasion,1
0,0,30,0.7,No invasion,1
0,0,30,0.8,No invasion,1
0,0,30,0.9,No invasion,1
0,0,30,1,No invasion,1
0,1,0,0,No invasion,1
0,1,0,0.1,No invasion,1
0,1,0,0.2,No invasion,1
0,1,0,0.3,No invasion,1
0,1,0,0.4,No invasion,1
0,1,0,0.5,No invasion,1
0,1,0,0.6,No invasion,1
0,1,0,0.7,No invasion,1
0,1,0,0.8,No invasion,1
0,1,0,0.9,No invasion,1
0,1,0,1,No invasion,1
0,1,3,0,No invasion,1
0,1,3,0.1,No invasion,1
0,1,3,0.2,No invasion,1
0,1,3,0.3,No invasion,1
0,1,3,0.4,No invasion,1
0,1,3,0.5,No invasion,1
0,1,3,0.6,No invasion,1
0,1,3,0.7,No invasion,1
0,1,3,0.8,No invasion,1
0,1,3,0.9,No invasion,1
0,1,3,1,No invasion,1
0,1,6,0,No invasion,1
0,1,6,0.1,No invasion,1
0,1,6,0.2,No invasion,1
0,1,6,0.3,No invasion,1
0,1,6,0.4,No invasion,1
0,1,6,0.5,No invasion,1
0,1,6,0.6,No invasion,1
0,1,6,0.7,No invasion,1
0,1,6,0.8,No invasion,1
0,1,6,0.9,No invasion,1
0,1,6,1,No invasion,1
0,1,9,0,No invasion,1
0,1,9,0.1,No invasion,1
0,1,9,0.2,No invasion,1
0,1,9,0.3,No invasion,1
0,1,9,0.4,No invasion,1
0,1,9,0.5,No invasion,1
0,1,9,0.6,No invasion,1
0,1,9,0.7,No invasion,1
0,1,9,0.8,No invasion,1
0,1,9,0.9,No invasion,1
0,1,9,1,No invasion,1
0,1,12,0,No invasion,1
0,1,12,0.1,No invasion,1
0,1,12,0.2,No invasion,1
0,1,12,0.3,No invasion,1
0,1,12,0.4,No invasion,1
0,1,12,0.5,No invasion,1
0,1,12,0.6,No invasion,1
0,1,12,0.7,No invasion,1
0,1,12,0.8,No invasion,1
0,1,12,0.9,No invasion,1
0,1,12,1,No invasion,1
0,1,15,0,No invasion,1
0,1,15,0.1,No invasion,1
0,1,15,0.2,No invasion,1
0,1,15,0.3,No invasion,1
0,1,15,0.4,No invasion,1
0,1,15,0.5,No invasion,1
0,1,15,0.6,No invasion,1
0,1,15,0.7,No invasion,1
0,1,15,0.8,No invasion,1
0,1,15,0.9,No invasion,1
0,1,15,1,No invasion,1
0,1,18,0,No invasion,1
0,1,18,0.1,No invasion,1
0,1,18,0.2,No invasion,1
0,1,18,0.3,No invasion,1
0,1,18,0.4,No invasion,1
0,1,18,0.5,No invasion,1
0,1,18,0.6,No invasion,1
0,1,18,0.7,No invasion,1
