Chemotaxis Lambda_norm,n,mean,std,sem
0.0,1209,0.0,0.0,0.0
0.1,1208,0.0,0.0,0.0
0.2,1209,0.0,0.0,0.0
0.3,1210,0.0049586776859504135,0.07027211633403938,0.0020201813055989656
0.4,1209,0.0413564929693962,0.21129562352966494,0.00607683369805945
0.5,1210,0.2140495867768595,0.5108914321440592,0.014687096024005343
0.6,1210,0.6628099173553719,1.1548532633134678,0.03319969704862482
0.7,1210,1.4355371900826446,2.0241453793669586,0.05819008831004711
0.8,1210,2.3611570247933886,2.8984999942806153,0.08332601618101605
0.9,1210,3.4553719008264463,3.6796997578913286,0.10578393036824311
1.0,1210,4.615702479338843,4.261150569904599,0.1224994659438461
