Chemotaxis Lambda_norm,n,mean,std,sem
0.0,1209,0.028949545078577336,0.17733019562389285,0.005099992562313793
0.1,1208,0.3038079470198676,0.5923444799853407,0.017042797292227588
0.2,1209,1.4954507857733663,1.6291592160050425,0.04685439981171036
0.3,1210,3.113223140495868,2.568094695242384,0.07382753167238103
0.4,1209,4.784119106699752,3.2253465195591455,0.09276053185845584
0.5,1210,6.4958677685950414,3.6137408174198558,0.1038877441505948
0.6,1210,7.901652892561984,3.535861030823,0.10164885770210463
0.7,1210,8.884297520661157,3.3291704758067118,0.09570692202305181
0.8,1210,9.61404958677686,3.0605633637308873,0.08798501047869069
0.9,1210,10.081818181818182,2.967552678541244,0.08531114127930739
1.0,1210,10.373553719008264,3.0255533873041975,0.0869785444210803
