Chemotaxis Lambda_norm,n,mean,std,sem
0.0,1209,0.004962779156327543,0.070301051570176,0.0020218487825455727
0.1,1208,0.902317880794702,2.275636151110295,0.065474072848957
0.2,1209,8.957816377171216,17.570408235410184,0.5053225763505296
0.3,1210,27.08595041322314,45.46456332948004,1.3070142995102296
0.4,1209,49.81968569065343,73.9414519789952,2.1265462084041635
0.5,1210,72.4495867768595,96.81936582456588,2.7833610692608595
0.6,1210,92.33388429752065,112.23666767374958,3.2265773348767346
0.7,1210,107.57438016528926,119.88161311380016,3.4463540637701713
0.8,1210,119.16528925619835,121.98169648778742,3.506727215934271
0.9,1210,129.5099173553719,121.94729088559369,3.505738124414254
1.0,1210,137.89256198347107,119.75625242240149,3.4427501972804144
